Country,sau_eez,HDI,FE,FE name,HDI_level
Tanzania (United Republic of),Tanzania,0.531,186,Tanzania,Low
Nigeria,Nigeria,0.527,125,Nigeria,Low
Cameroon,Cameroon,0.518,25,Cameroon,Low
Papua New Guinea,Papua New Guinea,0.516,136,Papua New Guinea,Low
Solomon Islands,Solomon Isl.,0.515,18,Solomon Isl.,Low
Mauritania,Mauritania,0.513,108,Mauritania,Low
Madagascar,Madagascar,0.512,103,Madagascar,Low
Comoros,Comoros Isl.,0.498,36,Comoros,Low
Senegal,Senegal,0.494,157,Senegal,Low
Haiti,Haiti,0.493,78,Haiti,Low
Sudan,Sudan,0.49,167,Sudan,Low
Togo,Togo,0.487,172,Togo,Low
Benin,Benin,0.485,45,Benin,Low
Yemen,Yemen (Arabian Sea),0.482,193,Yemen,Low
Yemen,Yemen (Red Sea),0.482,193,Yemen,Low
Côte d'Ivoire,Côte d'Ivoire,0.474,89,Côte d'Ivoire,Low
Djibouti,Djibouti,0.473,61,Djibouti,Low
Gambia,Gambia,0.452,64,Gambia,Low
Congo (Democratic Republic of the),Congo (ex-Zaire),0.435,39,Congo (ex-Zaire),Low
Liberia,Liberia,0.427,99,Liberia,Low
Guinea-Bissau,Guinea-Bissau,0.424,142,Guinea-Bissau,Low
Eritrea,Eritrea,0.42,23,Eritrea,Low
Sierra Leone,Sierra Leone,0.42,159,Sierra Leone,Low
Mozambique,Mozambique,0.418,114,Mozambique,Low
Guinea,Guinea,0.414,76,Guinea,Low
Navy Base,Trindade & Martim Vaz Isl. (Brazil),0.754,15,Brazil,High
Navy Base,Wake Isl. (USA),0.92,187,USA,High
Scientific personel,Johnston Atoll (USA),0.92,216,Johnston Atoll (USA),High
Scientific personel,Kerguelen Isl. (France),0.897,58,France,High
Scientific personnel,Palmyra Atoll & Kingman Reef (USA),0.92,187,USA,High
Scientific personnel,Prince Edward Isl. (South Africa),0.666,164,South Africa,Medium
Scientific personnel,South Georgia & Sandwich Isl. (UK),0.91,183,United Kingdom,High
Scientific personnel,South Orkney Islands (UK),0.91,183,United Kingdom,High
Scientific personnel,St Paul & Amsterdam Isl. (France),0.897,58,France,High
Scientific personnel,St Paul and St. Peter Archipelago (Brazil),0.754,15,Brazil,High
Scientific personnel,Tristan da Cunha Isl. (UK),0.91,220,Tristan da Cunha Isl. (UK),High
Scientific personnel,Tromelin Isl. (France),0.897,58,France,High
Uninhabitated,Jarvis Isl. (USA),0.92,187,USA,High
Uninhabitated,Kermadec Isl. (New Zealand),0.915,123,New Zealand,High
,Andaman & Nicobar Isl. (India),0.624,82,India,Medium
,Ascension Isl. (UK),0.91,219,Ascension Isl. (UK),High
,Azores Isl. (Portugal),0.843,218,Azores Isl. (Portugal),High
,Balearic Island (Spain),0.884,165,Spain,High
,Bonaire (Netherlands),0.924,222,Bonaire (Netherlands),High
,Bouvet Isl. (Norway),0.949,128,Norway,High
,Canary Isl. (Spain),0.884,165,Spain,High
,Chagos Archipelago (UK),0.91,17,Brit. Indian Ocean Terr. (UK),High
,Channel Isl. (UK),0.91,184,Channel Isl. (UK),High
,Christmas Isl. (Australia),0.939,33,Christmas Isl. (Australia),High
,Clipperton Isl.  (France),0.897,58,France,High
,Cocos (Keeling) Isl. (Australia),0.939,34,Cocos (Keeling) Isl. (Australia),High
,Corsica (France),0.897,58,France,High
,Crete (Greece),0.866,70,Greece,High
,Crozet Isl. (France),0.897,58,France,High
,Desventuradas Isl. (Chile),0.847,30,Chile,High
,Easter Isl. (Chile),0.847,30,Chile,High
,Fernando de Noronha (Brazil),0.754,15,Brazil,High
,Galapagos Isl. (Ecuador),0.739,49,Ecuador,High
,Glorieuse Islands (France),0.897,58,France,High
,Heard & McDonald Isl. (Australia),0.939,7,Australia,High
,Howland & Baker Isl. (USA),0.92,187,USA,High
,Jan Mayen Isl. (Norway),0.949,128,Norway,High
,Mozambique Channel Isl. (France),0.897,58,France,High
,Pitcairn (UK),0.91,139,Pitcairn (UK),High
,St Barthelemy (France),0.897,209,St Barthelemy (France),High
,St Martin (France),0.897,210,St Martin,High
,Svalbard Isl. (Norway),0.949,128,Norway,High
